rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
203,129290795,4,"Rushdene Road, Pinner",695000,4,Semi-Detached,https://www.rightmove.co.uk/properties/129290795#/?channel=RES_BUY,"Andrew Pearce, Pinner",SOLD STC,2023-10-19,,2023-10-19,"Pinner, Middlesex"
42,129323336,1,"Elmcroft Crescent, North Harrow, HA2",875000,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2022-11-22,,2023-10-19,"Pinner, Middlesex"
43,129323336,2,"Elmcroft Crescent, North Harrow, HA2",835000,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-01-11,,2023-10-19,"Pinner, Middlesex"
44,129323336,3,"Elmcroft Crescent, North Harrow, HA2",799950,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-02-23,,2023-10-19,"Pinner, Middlesex"
45,129323336,4,"Elmcroft Crescent, North Harrow, HA2",795000,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-07-12,,2023-10-19,"Pinner, Middlesex"
46,129323336,5,"Elmcroft Crescent, North Harrow, HA2",799950,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-07-12,,2023-10-19,"Pinner, Middlesex"
47,129323336,6,"Elmcroft Crescent, North Harrow, HA2",795000,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-07-12,,2023-10-19,"Pinner, Middlesex"
48,129323336,7,"Elmcroft Crescent, North Harrow, HA2",799950,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-07-12,,2023-10-19,"Pinner, Middlesex"
49,129323336,8,"Elmcroft Crescent, North Harrow, HA2",795000,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-07-12,,2023-10-19,"Pinner, Middlesex"
50,129323336,9,"Elmcroft Crescent, North Harrow, HA2",795000,5,Semi-Detached,https://www.rightmove.co.uk/properties/129323336#/?channel=RES_BUY,"Robsons, Pinner",SOLD STC,2023-10-19,,2023-10-19,"Pinner, Middlesex"
64,129346019,1,"Hillcroft Avenue, Pinner, HA5",825000,3,Semi-Detached,https://www.rightmove.co.uk/properties/129346019#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2022-11-22,,2023-10-19,"Pinner, Middlesex"
