Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
137170412,1,"Hamlin Crescent, Pinner, HA5",1550000,5,Detached,https://www.rightmove.co.uk/properties/137170412#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-07-10,,2023-10-19,"Pinner, Middlesex"
137170412,2,"Hamlin Crescent, Pinner, HA5",1450000,5,Detached,https://www.rightmove.co.uk/properties/137170412#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-07-28,,2023-10-19,"Pinner, Middlesex"
137170412,3,"Hamlin Crescent, Pinner, HA5",1450000,5,Detached,https://www.rightmove.co.uk/properties/137170412#/?channel=RES_BUY,"Robsons, Pinner",UNDER OFFER,2023-10-19,,2023-10-19,"Pinner, Middlesex"
137170802,1,"Daymer Gardens, Pinner",1650000,6,Detached,https://www.rightmove.co.uk/properties/137170802#/?channel=RES_BUY,"Coopers, Pinner",Initial entry,2023-07-10,,2023-10-19,"Pinner, Middlesex"
137170802,2,"Daymer Gardens, Pinner",1650000,6,Detached,https://www.rightmove.co.uk/properties/137170802#/?channel=RES_BUY,"Coopers, Pinner",SOLD STC,2023-10-19,,2023-10-19,"Pinner, Middlesex"
137180744,1,"Torcross Road, Ruislip, Middlesex",800000,5,End of Terrace,https://www.rightmove.co.uk/properties/137180744#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Manor",Initial entry,2023-07-11,,2023-10-21,"Pinner, Middlesex"
137180744,2,"Torcross Road, Ruislip, Middlesex",775000,5,End of Terrace,https://www.rightmove.co.uk/properties/137180744#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Manor",Reduced,2023-08-01,,2023-10-21,"Pinner, Middlesex"
137180744,3,"Torcross Road, Ruislip, Middlesex",775000,5,End of Terrace,https://www.rightmove.co.uk/properties/137180744#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Manor",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
137180921,1,"Tithe Farm Close, Harrow",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137180921#/?channel=RES_BUY,"Gibbs Gillespie, Harrow Sales",Initial entry,2023-07-11,,2023-10-21,"Pinner, Middlesex"
137180921,2,"Tithe Farm Close, Harrow",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137180921#/?channel=RES_BUY,"Gibbs Gillespie, Harrow Sales",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
137181470,1,"The Avenue, Hatch End, Pinner, HA5 4EN",1075000,4,Detached,https://www.rightmove.co.uk/properties/137181470#/?channel=RES_BUY,"David Charles, Pinner",Initial entry,2023-07-11,,2023-10-19,"Pinner, Middlesex"
137181470,2,"The Avenue, Hatch End, Pinner, HA5 4EN",1025000,4,Detached,https://www.rightmove.co.uk/properties/137181470#/?channel=RES_BUY,"David Charles, Pinner",Reduced,2023-08-29,,2023-10-19,"Pinner, Middlesex"
137182940,1,"Whitby Road, Ruislip, HA4",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137182940#/?channel=RES_BUY,"Lawrence Rand, Ruislip",Initial entry,2023-07-11,,2023-10-21,"Pinner, Middlesex"
137182940,2,"Whitby Road, Ruislip, HA4",599950,3,Semi-Detached,https://www.rightmove.co.uk/properties/137182940#/?channel=RES_BUY,"Lawrence Rand, Ruislip",Reduced,2023-09-11,,2023-10-21,"Pinner, Middlesex"
137182940,3,"Whitby Road, Ruislip, HA4",599950,3,Semi-Detached,https://www.rightmove.co.uk/properties/137182940#/?channel=RES_BUY,"Lawrence Rand, Ruislip",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
137191241,1,"Wellington Close, Watford, WD19",925000,4,Detached,https://www.rightmove.co.uk/properties/137191241#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-07-11,,2023-10-21,"Pinner, Middlesex"
